No,tweet
1,"RT @Raqqa_SL: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 2017. h\u2026"
2,"Exclusive: Trump ""Apologized"" to Russia for Syria Attack??\nhttps://t.co/PVSmxiQda3"
3,A soldier planned a gun attack on an airport so that refugees would take the blame https://t.co/5z26v9u7lL
4,RT @TheWarNerd: Great article by @BenjaminNorton The silence of the shills still makes me sick... https://t.co/fKqh53VHfw https://t.co/sTe5\u2026
5,RT @SyrCoalition: What is #Russia's role in the Chemical Attack on #KhanSheikhoun?\n#Syria #SyriaGasAttack #Sarin https://t.co/wykCURYBEN
6,RT @guyelster: Pro-Hezbollah and Assad media denies the reports on Israeli attack in Syria
7,"RT @ProfessorsBlogg: UOSSM admits: Doctor reporting alleged 'aerial'#KhanSheikhoun attack was ""no expert to determine that\u201d\nhttps://t.co/FT\u2026"
8,MT @dcexaminer: PolitiFact: John Kerry 'proved wrong' after Syria chemical attack https://t.co/4BuReEXmKv  https://t.co/VLWrO9feGT #PJNET
9,Exclusive: Trump Apologized to Russia for Syria Attack. https://t.co/DZuIeu0rqX #Trump #Syria #Russia\u2026 https://t.co/hAG5dmKzqS
10,RT @SyrCoalition: #OPCW Began Probing April 4 #Sarin Attack on #KhanSheikhoun\nhttps://t.co/qiJZLmfVjh\n#Syria #SyriaGasAttack #UN https://t.\u2026
11,RT @SyrCoalition: What is #Russia's role in the Chemical Attack on #KhanSheikhoun?\n#Syria #SyriaGasAttack #Sarin https://t.co/wykCURYBEN
12,- Video https://t.co/dAFAIeVQPR
13,@AMeisner32 @PaytonPike @MollyJongFast @improbablyjust @charliekirk11 @realDonaldTrump Coalminers....pipeline. ..Do\u2026 https://t.co/Hx4L3qSVkM
14,Loading\u2026 https://t.co/dAFAIeVQPR
15,"RT @Bash_Sultan25: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 20\u2026"
16,RT @Ian56789: IMPORTANT CORRECTION To The Syria Nerve Agent Attack that Did Not Occur https://t.co/vnOK8nZIwM https://t.co/OOLpetTURs
17,"RT @TsarKastik: A Comprehensive, Excellent Summary of the Western Media's Pro-War Hypocrisy in #Syria @alternet https://t.co/HX9iSs7xxs @Va\u2026"
18,"RT @Bash_Sultan25: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 20\u2026"
19,RT @SyrCoalition: What is #Russia's role in the Chemical Attack on #KhanSheikhoun?\n#Syria #SyriaGasAttack #Sarin https://t.co/wykCURYBEN
20,"RT @Bash_Sultan25: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 20\u2026"
21,CIA-backed aid for Syrian rebels\nfrozen after Islamist attack\n- sources\n21 /02/17 Tom Perry et al @Reuters\nhttps://t.co/mHan2cR06V
22,Syria: Airstrike in Hama Kills 8 White Helmets Rescuers - U.S. News &amp; World Report https://t.co/prKsrFaeZ7
23,RT @haaretzcom: UPDATE: Syria denies reports of attack on #Quneitra https://t.co/J4P0fZ26xa
24,"RT @Raqqa_SL: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 2017. h\u2026"
25,RT @SyrCoalition: #OPCW Began Probing April 4 #Sarin Attack on #KhanSheikhoun\nhttps://t.co/qiJZLmfVjh\n#Syria #SyriaGasAttack #UN https://t.\u2026
26,"RT @Raqqa_SL: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 2017. h\u2026"
27,RT @Ian56789: IMPORTANT CORRECTION To The Syria Nerve Agent Attack that Did Not Occur https://t.co/vnOK8nZIwM https://t.co/OOLpetTURs
28,"RT @TheArabSource: Syrian Army repels #ISIS attack on southeast #Aleppo, kills scores https://t.co/wNx3dDmPlV #Syria"
29,RT @DRovera: A #Saudi attack on #Houdeidah port would be disastrous. #Yemen civilians are starving already because of insane war https://t.\u2026
30,RT @RaniaKhalek: Excellent piece by @BenjaminNorton exposes the media's pro-war hypocrisy on syria https://t.co/YXSh1TdD79
31,"""Evil West"" preparing a war: disinformation about NATO on Russian State TV... https://t.co/Frp0YrEhbG by\u2026 https://t.co/MEUUxf9I9a"
32,"RT @Bash_Sultan25: #Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 April 20\u2026"
33,"RT @EUvsDisinfo: ""Evil West"" preparing a war: disinformation about NATO on Russian State TV. #DisinfoReview: https://t.co/r2QwKsGukl https:\u2026"
34,"#Syria, Raqqa: Deanna Abdul Moneim Hamidi, 13 yrs old, died from heart attack after airstrike on Raqqa city. 28 Apr\u2026 https://t.co/qyln1QWxbf"
35,"RT @EUvsDisinfo: ""Evil West"" preparing a war: disinformation about NATO on Russian State TV. #DisinfoReview: https://t.co/r2QwKsGukl https:\u2026"
36,"RT @Millennial_Dems: Trump is blaming the disgraceful chemical attack in Syria on Obama. Either do the job or resign, NOW - it's been month\u2026"
